"","Sample","bac_biomass","koppen_clim"
"1","004",0,"Continental cold/Tundra"
"2","008",15.9916288,"Continental hot summer"
"3","010",17.287088,"Continental hot summer"
"4","018",1.86423697297297,"Continental cold/Tundra"
"5","020",5.13069803921569,"Continental cold/Tundra"
"6","026",7.31489684210526,"Continental hot summer"
"7","028",20.740216,"Continental hot summer"
"8","030",10.29504,"Continental hot summer"
"9","032",4.98564830188679,"Continental hot summer"
"10","043",14.5503232,"Continental hot summer"
"11","044",1.6217455483871,"Continental hot summer"
"12","045",37.662688,"Continental hot summer"
"13","046",8.55210778947368,"Continental hot summer"
"14","084",18.0571733333333,"Continental hot summer"
"15","086",6.25055999999999,"Continental hot summer"
"16","088",11.7363456,"Continental hot summer"
"17","090",2.13908053333333,"Continental hot summer"
"18","091",5.22759253333333,"Continental hot summer"
"19","154",4.31987952941176,"Continental hot summer"
"20","155",10.9527786666667,"Continental hot summer"
"21","156",0.38017631372549,"Continental cold/Tundra"
"22","157",5.76032000000001,"Continental hot summer"
"23","158",7.4810624,"Temperate"
"24","225",6.94135272727274,"Temperate"
"25","226",5.90365288135594,"Temperate"
"26","012",29.1335333333333,"Continental hot summer"
"27","014",8.66090666666667,"Continental hot summer"
"28","016",6.61824000000001,"Continental hot summer"
"29","022",6.30078950819673,"Continental cold/Tundra"
"30","024",20.6123636363636,"Continental hot summer"
"31","068",6.13321531914894,"Temperate"
"32","184",15.1375217777778,"Continental hot summer"
"33","069",6.93121807909605,"Temperate"
"34","182",3.39930566037736,"Continental hot summer"
"35","071",12.700028852459,"Temperate"
"36","191",3.02923752727274,"Temperate"
"37","183",5.14752,"Continental hot summer"
"38","181",1.11938133333333,"Continental hot summer"
"39","139",46.97112,"Temperate"
"40","248",37.405312,"Continental cold/Tundra"
"41","105",4.79930541176471,"Temperate"
"42","140",43.0389866666667,"Temperate"
"43","070",9.75723940298507,"Temperate"
"44","141",8.16249600000001,"Temperate"
"45","013",3.7233728,"Continental hot summer"
"46","169",16.6384484848485,"Continental hot summer"
"47","161",2.43927524324325,"Temperate"
"48","197",49.5687111111111,"Temperate"
"49","033",10.4695322033898,"Continental hot summer"
"50","029",2.05640824242424,"Continental hot summer"
"51","019",4.12618666666666,"Continental hot summer"
"52","011",1.52775753846154,"Continental hot summer"
"53","007",29.7070805970149,"Continental hot summer"
"54","031",5.64320711111111,"Continental hot summer"
"55","167",0.776053124183006,"Temperate"
"56","159",13.4884088888889,"Temperate"
"57","025",5.63497454545455,"Continental hot summer"
"58","021",2.1791168,"Continental cold/Tundra"
"59","078",17.9019306666667,"Temperate"
"60","005",15.785728,"Continental cold/Tundra"
"61","126",16.3892303448276,"Continental hot summer"
"62","263",25.2473600000001,"Continental cold/Tundra"
"63","072",6.49768918032787,"Continental hot summer"
"64","077",5.23665454545454,"Continental cold/Tundra"
"65","074",2.47442189473685,"Continental hot summer"
"66","266",8.1330816,"Continental cold/Tundra"
"67","075",2.63760520930234,"Continental hot summer"
"68","247",10.1806506666667,"Continental cold/Tundra"
"69","076",5.85404235294117,"Continental hot summer"
"70","264",13.61948,"Continental cold/Tundra"
"71","249",17.1584,"Continental cold/Tundra"
"72","142",14.4416533333333,"Temperate"
"73","262",2.08814490566038,"Continental cold/Tundra"
"74","260",10.3893169230769,"Continental cold/Tundra"
"75","255",54.7885462068966,"Continental cold/Tundra"
"76","261",8.5792,"Continental cold/Tundra"
"77","259",21.28714,"Continental cold/Tundra"
"78","265",17.64864,"Continental cold/Tundra"
"79","049",25.8519893333333,"Continental hot summer"
"80","050",10.0473929896907,"Continental hot summer"
"81","246a",14.2726690909091,"Continental cold/Tundra"
"82","073",20.9402514285714,"Continental hot summer"
"83","257",4.32534666666667,"Continental cold/Tundra"
"84","053",22.0150996610169,"Continental hot summer"
"85","056",46.7956363636363,"Continental hot summer"
"86","051",31.9410215384616,"Continental hot summer"
"87","052",11.3118340740741,"Continental hot summer"
"88","153",34.145216,"Temperate"
"89","055",59.3190400000001,"Continental hot summer"
"90","048",24.8292141176471,"Continental hot summer"
"91","023",5.56168827586206,"Continental hot summer"
"92","210",3.41049679012345,"Continental cold/Tundra"
"93","213",1.22110613333333,"Continental cold/Tundra"
"94","211",20.59008,"Continental cold/Tundra"
"95","222",3.82301192982457,"Temperate"
"96","224",70.949984,"Temperate"
"97","214",12.7800496551724,"Continental hot summer"
"98","221",8.77787621052632,"Temperate"
"99","223",8.6478336,"Temperate"
"100","212",39.46432,"Continental cold/Tundra"
"101","195",17.844736,"Temperate"
"102","128",1.64182337254902,"Continental hot summer"
"103","130",16.251918490566,"Continental hot summer"
"104","040",1.592514,"Temperate"
"105","129",5.48395921568628,"Continental hot summer"
"106","067",2.39557661538462,"Continental cold/Tundra"
"107","193",13.72672,"Temperate"
"108","041",19.4461866666667,"Continental hot summer"
"109","065",8.31004862745098,"Continental cold/Tundra"
"110","015",5.01553230769231,"Continental hot summer"
"111","160",1.71584,"Temperate"
"112","194",29.5013780645161,"Temperate"
"113","250",11.1016314529915,"Continental cold/Tundra"
"114","027",0.300801580246914,"Continental hot summer"
"115","017",0.698769623188405,"Continental cold/Tundra"
"116","203",29.2352738461538,"Temperate"
"117","064",13.4627446153846,"Continental cold/Tundra"
"118","171",1.64518776470588,"Continental cold/Tundra"
"119","035",25.2671277419354,"Temperate"
"120","137",5.319104,"Continental cold/Tundra"
"121","135",4.22974511627906,"Continental cold/Tundra"
"122","216",25.1072914285714,"Temperate"
"123","058",25.3801333333333,"Continental hot summer"
"124","174",12.3944207058823,"Temperate"
"125","132",26.6272948148148,"Continental cold/Tundra"
"126","059",19.3421963636364,"Continental hot summer"
"127","218",3.08071272727274,"Temperate"
"128","060",12.5608287179487,"Continental hot summer"
"129","131",28.0635164444443,"Continental cold/Tundra"
"130","133",5.002746,"Continental cold/Tundra"
"131","219",25.1957557894736,"Temperate"
"132","220",10.29504,"Temperate"
"133","057",14.0799811764706,"Continental hot summer"
"134","061",11.088936119403,"Continental hot summer"
"135","136",3.26980830188679,"Continental cold/Tundra"
"136","138",3.46027733333333,"Continental hot summer"
"137","217",17.993132972973,"Temperate"
"138","172",9.62544390243902,"Temperate"
"139","173",9.80704880733944,"Temperate"
"140","134",3.59055407407407,"Continental cold/Tundra"
"141","246c",11.3557410909091,"Temperate"
"142","215",22.7961599999999,"Temperate"
"143","001",13.5585003921569,"Temperate"
"144","243",44.0201710344828,"Temperate"
"145","230",19.0097010526316,"Temperate"
"146","242",32.2981647058824,"Temperate"
"147","002",6.03915737991267,"Temperate"
"148","037",7.29232,"Temperate"
"149","039",29.5795895652174,"Temperate"
"150","003",20.0499081481482,"Temperate"
"151","238",10.0427105882353,"Temperate"
"152","062",5.962544,"Continental cold/Tundra"
"153","063",26.700144390244,"Continental cold/Tundra"
"154","170",29.215654054054,"Continental hot summer"
"155","127",10.3767466666667,"Continental hot summer"
"156","192",26.0455712820512,"Temperate"
"157","036",1.69548257627119,"Temperate"
"158","204",4.9673568,"Temperate"
"159","066",25.2329411764705,"Continental cold/Tundra"
"160","196",18.5167733333333,"Temperate"
"161","079",3.59989960784314,"Temperate"
"162","038",22.207872,"Temperate"
"163","034",19.0778142372881,"Temperate"
"164","202",10.3959717647059,"Temperate"
