"","Sample","X","Y","koppen_clim"
"MAPP_001","MAPP_001","  14.010833","57.29833","Temperate"
"MAPP_002","MAPP_002","  14.010833","57.29833","Temperate"
"MAPP_003","MAPP_003","  14.010833","57.29833","Temperate"
"MAPP_004","MAPP_004","  34.009384","62.31495","Continental cold/Tundra"
"MAPP_005","MAPP_005","  34.009270","62.31490","Continental cold/Tundra"
"MAPP_006","MAPP_006","  34.009660","62.31480","Continental cold/Tundra"
"MAPP_007","MAPP_007","  30.011734","60.12121","Continental hot summer"
"MAPP_008","MAPP_008","  30.011739","60.12121","Continental hot summer"
"MAPP_009","MAPP_009","  43.372438","54.76220","Continental hot summer"
"MAPP_010","MAPP_010","  43.372354","54.76226","Continental hot summer"
"MAPP_011","MAPP_011","  43.372316","54.76206","Continental hot summer"
"MAPP_012","MAPP_012","  45.136053","53.30392","Continental hot summer"
"MAPP_013","MAPP_013","  45.136242","53.30381","Continental hot summer"
"MAPP_014","MAPP_014","  45.136327","53.30385","Continental hot summer"
"MAPP_015","MAPP_015","  32.409964","60.09694","Continental hot summer"
"MAPP_016","MAPP_016","  32.409944","60.09695","Continental hot summer"
"MAPP_017","MAPP_017","  33.251727","61.35792","Continental cold/Tundra"
"MAPP_018","MAPP_018","  33.251734","61.35794","Continental cold/Tundra"
"MAPP_019","MAPP_019","  36.713546","55.66935","Continental hot summer"
"MAPP_020","MAPP_020","  33.106460","66.54533","Continental cold/Tundra"
"MAPP_021","MAPP_021","  33.106520","66.54532","Continental cold/Tundra"
"MAPP_022","MAPP_022","  33.106600","66.54527","Continental cold/Tundra"
"MAPP_023","MAPP_023","  37.577279","58.52603","Continental hot summer"
"MAPP_024","MAPP_024","  33.373090","57.99149","Continental hot summer"
"MAPP_025","MAPP_025","  33.373141","57.99146","Continental hot summer"
"MAPP_026","MAPP_026","  33.373650","57.99150","Continental hot summer"
"MAPP_027","MAPP_027","  37.980251","58.55613","Continental hot summer"
"MAPP_028","MAPP_028","  37.976976","58.55492","Continental hot summer"
"MAPP_029","MAPP_029","  40.149488","55.60119","Continental hot summer"
"MAPP_030","MAPP_030","  40.149614","55.60122","Continental hot summer"
"MAPP_031","MAPP_031","  40.149407","55.60123","Continental hot summer"
"MAPP_032","MAPP_032","  36.713581","55.66907","Continental hot summer"
"MAPP_033","MAPP_033","  36.713480","55.66928","Continental hot summer"
"MAPP_034","MAPP_034","  -1.262480","43.87890","Temperate"
"MAPP_035","MAPP_035","  -1.247560","43.88371","Temperate"
"MAPP_036","MAPP_036","  -0.781930","44.27495","Temperate"
"MAPP_037","MAPP_037","  -0.618550","44.34022","Temperate"
"MAPP_038","MAPP_038","  -9.714788","53.42319","Temperate"
"MAPP_039","MAPP_039","  -9.435870","53.40187","Temperate"
"MAPP_040","MAPP_040","  -9.691109","53.99310","Temperate"
"MAPP_041","MAPP_041"," -79.537120","45.42310","Continental hot summer"
"MAPP_043","MAPP_043"," 126.362778","42.34833","Continental hot summer"
"MAPP_044","MAPP_044"," 126.519167","42.22472","Continental hot summer"
"MAPP_045","MAPP_045"," 128.327500","42.03694","Continental hot summer"
"MAPP_046","MAPP_046"," 128.662500","42.47833","Continental hot summer"
"MAPP_048","MAPP_048"," -69.610532","47.74034","Continental hot summer"
"MAPP_049","MAPP_049"," -77.995556","46.76743","Continental hot summer"
"MAPP_050","MAPP_050"," -64.523970","47.94175","Continental hot summer"
"MAPP_051","MAPP_051"," -65.273373","47.71425","Continental hot summer"
"MAPP_052","MAPP_052"," -65.142497","46.30855","Continental hot summer"
"MAPP_053","MAPP_053"," -64.839810","46.99201","Continental hot summer"
"MAPP_055","MAPP_055"," -71.813685","48.87752","Continental hot summer"
"MAPP_056","MAPP_056"," -71.726347","48.75799","Continental hot summer"
"MAPP_057","MAPP_057","  26.685330","57.90997","Continental hot summer"
"MAPP_058","MAPP_058","  24.239200","58.61412","Continental hot summer"
"MAPP_059","MAPP_059","  22.645054","58.90382","Continental hot summer"
"MAPP_060","MAPP_060","  25.889696","58.55663","Continental hot summer"
"MAPP_061","MAPP_061","  25.861975","58.53791","Continental hot summer"
"MAPP_062","MAPP_062","-148.296200","64.70345","Continental cold/Tundra"
"MAPP_063","MAPP_063","-148.294900","64.70294","Continental cold/Tundra"
"MAPP_064","MAPP_064","-148.292800","64.70239","Continental cold/Tundra"
"MAPP_065","MAPP_065","-148.312500","64.70099","Continental cold/Tundra"
"MAPP_066","MAPP_066","-148.314500","64.70015","Continental cold/Tundra"
"MAPP_067","MAPP_067","-148.315100","64.69923","Continental cold/Tundra"
"MAPP_068","MAPP_068","  -6.549700","54.88347","Temperate"
"MAPP_069","MAPP_069","  -6.547936","54.88531","Temperate"
"MAPP_070","MAPP_070","  -6.550740","54.88714","Temperate"
"MAPP_071","MAPP_071","  -6.547746","54.88659","Temperate"
"MAPP_072","MAPP_072","  26.251000","58.87490","Continental hot summer"
"MAPP_073","MAPP_073","  26.251000","58.87490","Continental hot summer"
"MAPP_074","MAPP_074","  26.251000","58.87490","Continental hot summer"
"MAPP_075","MAPP_075","  26.251000","58.87490","Continental hot summer"
"MAPP_076","MAPP_076","  26.251000","58.87490","Continental hot summer"
"MAPP_077","MAPP_077","  24.192778","61.83250","Continental cold/Tundra"
"MAPP_078","MAPP_078","  -3.881500","52.90370","Temperate"
"MAPP_079","MAPP_079","  -4.011300","52.50230","Temperate"
"MAPP_084","MAPP_084","  24.683320","58.01124","Continental hot summer"
"MAPP_086","MAPP_086","  24.751010","59.32185","Continental hot summer"
"MAPP_087A","MAPP_087A","  27.552248","59.26938","Continental hot summer"
"MAPP_088","MAPP_088","  24.084077","58.99165","Continental hot summer"
"MAPP_090","MAPP_090","  24.683050","57.96751","Continental hot summer"
"MAPP_091","MAPP_091","  24.046870","59.11724","Continental hot summer"
"MAPP_105","MAPP_105","-125.234071","49.74702","Temperate"
"MAPP_126","MAPP_126","  17.330458","60.04526","Continental hot summer"
"MAPP_127","MAPP_127","  17.332558","60.04628","Continental hot summer"
"MAPP_128","MAPP_128","  17.299372","59.95307","Continental hot summer"
"MAPP_129","MAPP_129","  17.324530","59.94770","Continental hot summer"
"MAPP_130","MAPP_130","  15.479280","58.53488","Continental hot summer"
"MAPP_131","MAPP_131"," -63.591050","50.25480","Continental cold/Tundra"
"MAPP_132","MAPP_132"," -62.035920","50.22827","Continental cold/Tundra"
"MAPP_133","MAPP_133"," -61.673920","50.15443","Continental cold/Tundra"
"MAPP_134","MAPP_134"," -63.333046","50.82917","Continental cold/Tundra"
"MAPP_135","MAPP_135"," -64.351230","50.28940","Continental cold/Tundra"
"MAPP_136","MAPP_136"," -65.226414","50.31464","Continental cold/Tundra"
"MAPP_137","MAPP_137"," -66.678703","50.20144","Continental cold/Tundra"
"MAPP_138","MAPP_138"," -68.342431","49.17383","Continental hot summer"
"MAPP_139","MAPP_139","   3.664600","45.95580","Temperate"
"MAPP_140","MAPP_140","   2.845940","45.48079","Temperate"
"MAPP_141","MAPP_141","   2.931490","45.46788","Temperate"
"MAPP_142","MAPP_142","   2.923130","45.38494","Temperate"
"MAPP_153","MAPP_153","   3.967489","45.47528","Temperate"
"MAPP_154","MAPP_154"," 126.545344","42.21980","Continental hot summer"
"MAPP_155","MAPP_155"," 128.052047","42.04835","Continental hot summer"
"MAPP_156","MAPP_156"," 128.006611","41.86320","Continental cold/Tundra"
"MAPP_157","MAPP_157"," 128.043294","44.10456","Continental hot summer"
"MAPP_158","MAPP_158"," 119.440742","30.39956","Temperate"
"MAPP_159","MAPP_159"," -25.238869","37.80100","Temperate"
"MAPP_160","MAPP_160"," -25.245323","37.79990","Temperate"
"MAPP_161","MAPP_161"," -31.106911","39.70912","Temperate"
"MAPP_167","MAPP_167"," -31.175661","39.44626","Temperate"
"MAPP_168","MAPP_168"," -31.226906","39.45106","Temperate"
"MAPP_169","MAPP_169","  17.821687","60.28235","Continental hot summer"
"MAPP_170","MAPP_170","  14.345877","47.58106","Continental hot summer"
"MAPP_171","MAPP_171","   8.701390","46.54722","Continental cold/Tundra"
"MAPP_172","MAPP_172","   6.553667","46.15992","Temperate"
"MAPP_173","MAPP_173","   6.665000","47.00583","Temperate"
"MAPP_174","MAPP_174","   7.043611","47.23833","Temperate"
"MAPP_181","MAPP_181"," -66.789444","44.66333","Continental hot summer"
"MAPP_182","MAPP_182"," -66.789444","44.66333","Continental hot summer"
"MAPP_183","MAPP_183"," -66.790556","44.66139","Continental hot summer"
"MAPP_184","MAPP_184"," -66.671111","45.93861","Continental hot summer"
"MAPP_185","MAPP_185"," -66.670833","45.93833","Continental hot summer"
"MAPP_191","MAPP_191","   6.789309","47.17886","Temperate"
"MAPP_192","MAPP_192","   1.423023","48.80205","Temperate"
"MAPP_193","MAPP_193","   1.423023","48.80205","Temperate"
"MAPP_194","MAPP_194","   1.423177","42.80225","Temperate"
"MAPP_195","MAPP_195","   1.422952","42.80206","Temperate"
"MAPP_196","MAPP_196","   1.422952","42.80206","Temperate"
"MAPP_197","MAPP_197","  -2.618220","53.18775","Temperate"
"MAPP_202","MAPP_202","   1.799963","42.82788","Temperate"
"MAPP_203","MAPP_203","   1.799963","42.82788","Temperate"
"MAPP_204","MAPP_204","   1.372466","42.80520","Temperate"
"MAPP_210","MAPP_210","  26.654209","67.36866","Continental cold/Tundra"
"MAPP_211","MAPP_211","  26.502053","67.42876","Continental cold/Tundra"
"MAPP_212","MAPP_212","  24.201827","67.99565","Continental cold/Tundra"
"MAPP_213","MAPP_213","  24.209143","67.99731","Continental cold/Tundra"
"MAPP_214","MAPP_214","  23.971754","60.64581","Continental hot summer"
"MAPP_215","MAPP_215","   1.783199","42.82314","Temperate"
"MAPP_216","MAPP_216","   1.783129","42.82318","Temperate"
"MAPP_217","MAPP_217","   1.783067","42.82324","Temperate"
"MAPP_218","MAPP_218","   1.789887","42.83559","Temperate"
"MAPP_219","MAPP_219","   1.790071","42.83537","Temperate"
"MAPP_220","MAPP_220","  12.676686","50.43428","Temperate"
"MAPP_221","MAPP_221","  13.749117","52.80610","Temperate"
"MAPP_222","MAPP_222","   9.371211","52.50115","Temperate"
"MAPP_223","MAPP_223","  13.474194","53.29590","Temperate"
"MAPP_224","MAPP_224","  10.064813","50.51205","Temperate"
"MAPP_225","MAPP_225","  -0.096111","43.11000","Temperate"
"MAPP_226","MAPP_226","  -0.094167","43.08278","Temperate"
"MAPP_230","MAPP_230","   6.172450","46.82623","Temperate"
"MAPP_238","MAPP_238","   6.172333","46.82640","Temperate"
"MAPP_242","MAPP_242","   2.027850","42.71784","Temperate"
"MAPP_243","MAPP_243","   2.059013","42.70058","Temperate"
"MAPP_246A","MAPP_246A","  21.050000","68.88333","Continental cold/Tundra"
"MAPP_246C","MAPP_246C","   6.960435","48.00910","Temperate"
"MAPP_247","MAPP_247","  21.050000","68.88333","Continental cold/Tundra"
"MAPP_248","MAPP_248","  28.466667","70.11667","Continental cold/Tundra"
"MAPP_249","MAPP_249","  28.466667","70.11667","Continental cold/Tundra"
"MAPP_250","MAPP_250","  27.166667","69.81667","Continental cold/Tundra"
"MAPP_251","MAPP_251","  27.166667","69.81667","Continental cold/Tundra"
"MAPP_255","MAPP_255","  24.235378","61.85859","Continental cold/Tundra"
"MAPP_256B","MAPP_256B","  24.235378","61.85859","Continental cold/Tundra"
"MAPP_257","MAPP_257","  24.235378","61.85859","Continental cold/Tundra"
"MAPP_259","MAPP_259","  23.828802","68.81075","Continental cold/Tundra"
"MAPP_260","MAPP_260","  23.912600","68.83246","Continental cold/Tundra"
"MAPP_261","MAPP_261","  23.910488","68.83416","Continental cold/Tundra"
"MAPP_262","MAPP_262","  23.829683","68.83383","Continental cold/Tundra"
"MAPP_263","MAPP_263","  23.844859","68.83099","Continental cold/Tundra"
"MAPP_264","MAPP_264","  24.192778","61.83250","Continental cold/Tundra"
"MAPP_265","MAPP_265","  24.192778","61.83250","Continental cold/Tundra"
"MAPP_266","MAPP_266","  24.192778","61.83250","Continental cold/Tundra"
