"","Sample","BG","NAG","AP","LAP","Y","X","Country","koppen_clim"
"1","001",32.99203072,135.3862161,2706.832646,43.89307573,57.298333,14.010833,"Sweden","Temperate"
"2","002",34.4229637,55.75343267,4073.089825,5.83121322,57.298333,14.010833,"Sweden","Temperate"
"3","003",41.37077772,22.40423206,639.0879166,13.88486295,57.298333,14.010833,"Sweden","Temperate"
"4","004",83.87710617,24.49949978,711.1216823,10.89955168,62.314951,34.009384,"Russia","Continental cold/Tundra"
"5","005",284.2442317,39.94227916,829.6969832,16.06157583,62.314898,34.00927,"Russia","Continental cold/Tundra"
"6","006",169.1084512,187.1275246,1212.943424,58.71749275,62.314803,34.00966,"Russia","Continental cold/Tundra"
"7","007",204.5612139,36.16441125,1414.65703,11.67851408,60.121213,30.011734,"Russia","Continental hot summer"
"8","008",480.8882323,64.12649028,1322.214597,1.942887146,60.121213,30.011739,"Russia","Continental hot summer"
"9","013",58.47508631,22.84788141,1430.537388,8.560589223,53.30380556,45.13624167,"Russia","Continental hot summer"
"10","015",424.3171408,316.9614888,2642.519411,164.8873878,60.096937,32.409964,"Russia","Continental hot summer"
"11","018",64.52959804,13.22028061,640.4405036,16.51402924,61.357938,33.251734,"Russia","Continental cold/Tundra"
"12","020",81.41614138,2.025706006,739.0055659,5.682688573,66.54533,33.10646,"Russia","Continental cold/Tundra"
"13","021",83.67139462,61.12607033,2349.835488,22.28193121,66.54532,33.10652,"Russia","Continental cold/Tundra"
"14","022",276.3482881,233.1236991,3444.046465,25.29910957,66.54527,33.1066,"Russia","Continental cold/Tundra"
"15","024",708.2532903,586.2307266,1975.638951,92.55470872,57.991486,33.37309,"Russia","Continental hot summer"
"16","025",203.0769776,200.3143989,1111.059758,10.42441975,57.991459,33.373141,"Russia","Continental hot summer"
"17","026",664.3901547,275.9399642,1127.827626,1.799684554,57.991502,33.37365,"Russia","Continental hot summer"
"18","027",37.45732334,37.99542784,370.4521403,11.68468409,58.556127,37.980251,"Russia","Continental hot summer"
"19","028",110.9688844,74.94747578,2498.661976,16.70731152,58.55492,37.976976,"Russia","Continental hot summer"
"20","029",645.2544336,536.467169,1161.296969,19.21735567,55.601186,40.149488,"Russia","Continental hot summer"
"21","030",244.9575347,641.9946038,2116.942323,47.59839488,55.60122,40.149614,"Russia","Continental hot summer"
"22","031",919.3825309,331.4907679,3633.869328,149.9256451,55.601226,40.149407,"Russia","Continental hot summer"
"23","032",549.7975902,262.826462,5816.400795,20.61154231,55.669074,36.713581,"Russia","Continental hot summer"
"24","033",78.59149293,73.12579944,1343.006761,55.68171479,55.669284,36.71348,"Russia","Continental hot summer"
"25","038",229.4404803,280.7793723,5122.916304,25.29189506,53.423194,-9.714788,"Ireland","Temperate"
"26","039",307.4407037,412.2251813,3953.417189,66.65994639,53.401868,-9.43587,"Ireland","Temperate"
"27","040",111.8532594,78.62309938,1818.226091,23.26328412,53.9931,-9.691109,"Ireland","Temperate"
"28","041",220.0677219,204.0973539,3325.36632,10.31293265,45.423104,-79.53712,"Canada","Continental hot summer"
"29","042",270.5480419,336.8362791,2398.872528,24.72249311,43.904538,-80.406538,"Canada","Continental hot summer"
"30","043",456.3011985,164.2339692,3631.060493,110.3074855,42.348333,126.362778,"China","Continental hot summer"
"31","044",223.2745684,74.98681176,1378.285287,8.483712438,42.224722,126.519167,"China","Continental hot summer"
"32","045",117.2048314,66.07889652,3024.263973,12.65531773,42.036944,128.3275,"China","Continental hot summer"
"33","046",533.668801,87.60016992,1200.592949,7.664090839,42.478333,128.6625,"China","Continental hot summer"
"34","047",208.9105199,95.66665395,2496.310611,18.05541161,46.779398,-71.056412,"Canada","Continental hot summer"
"35","048",890.2392557,214.3553224,3195.285952,22.74101338,47.740337,-69.610532,"Canada","Continental hot summer"
"36","049",218.5238783,82.19161526,1409.276045,0,46.767435,-77.995556,"Canada","Continental hot summer"
"37","050",69.70884592,54.01866589,586.9894485,9.852919745,47.9417502,-64.5239697,"Canada","Continental hot summer"
"38","051",31.24162525,7.910488403,448.159593,11.14716453,47.714249,-65.2733732,"Canada","Continental hot summer"
"39","053",35.99017192,24.14346749,685.7586812,14.37788953,46.992013,-64.83981,"Canada","Continental hot summer"
"40","055",224.2907942,100.1730427,1441.691176,11.98271613,48.877515,-71.813685,"Canada","Continental hot summer"
"41","056",1041.849349,237.5086135,1680.243785,8.234906788,48.757992,-71.726347,"Canada","Continental hot summer"
"42","057",17.26296,47.68949636,1352.325932,4.943458914,57.90997,26.68533,"Estonia","Continental hot summer"
"43","058",14.17313471,9.434038784,562.2010102,5.372268235,58.61412,24.2392,"Estonia","Continental hot summer"
"44","059",262.0560757,304.7955736,452.957527,31.97289965,58.903816,22.645054,"Estonia","Continental hot summer"
"45","060",49.72336868,26.29189952,360.066695,11.9740842,58.556626,25.889696,"Estonia","Continental hot summer"
"46","061",94.64597441,55.67553712,732.024791,6.803263921,58.537912,25.861975,"Estonia","Continental hot summer"
"47","072",51.21874007,186.3621627,1069.980931,31.87988156,58.8749,26.251,"Estonia","Continental hot summer"
"48","073",263.1481158,147.3241389,1252.344276,19.94361825,58.8749,26.251,"Estonia","Continental hot summer"
"49","074",369.763803,576.4733793,4402.685147,61.48163984,58.8749,26.251,"Estonia","Continental hot summer"
"50","075",384.6920754,405.4428923,3974.282652,32.25681897,58.8749,26.251,"Estonia","Continental hot summer"
"51","076",6.989027448,11.93443671,287.7964757,7.397467337,58.8749,26.251,"Estonia","Continental hot summer"
"52","077",170.5003757,166.2496739,1694.420734,10.70869322,61.8325,24.192778,"Finland","Continental cold/Tundra"
"53","080",28.60705877,34.66420974,233.7368032,23.87695611,64.169167,19.559722,"Sweden","Continental cold/Tundra"
"54","081",144.4213706,167.1345239,131.7453109,34.28894344,63.810711,20.580975,"Sweden","Continental cold/Tundra"
"55","082",81.25492854,75.20106068,1804.61078,2.470976256,59.115014,24.040046,"Estonia","Continental hot summer"
"56","083",40.40779232,195.0794849,1671.559231,15.48316908,59.302466,25.118462,"Estonia","Continental hot summer"
"57","084",32.38872261,51.53501976,1818.753729,23.23540845,58.01124,24.68332,"Estonia","Continental hot summer"
"58","086",218.633009,33.41598766,1153.275008,8.796229631,59.32185,24.75101,"Estonia","Continental hot summer"
"59","087",81.92251378,49.15618198,986.2652503,5.823462101,59.269376,27.552248,"Estonia","Continental hot summer"
"60","088",45.77584519,27.23208921,956.4391385,6.675709988,58.991648,24.084077,"Estonia","Continental hot summer"
"61","089",23.05579111,31.92647677,696.9881531,17.8380549,59.353594,24.659391,"Estonia","Continental hot summer"
"62","090",196.9424371,101.7603701,1752.196839,7.707431865,57.96751,24.68305,"Estonia","Continental hot summer"
"63","093",91.59566463,63.01131525,339.8225227,9.353876481,69.3956,18.3447,"Norway","Continental cold/Tundra"
"64","094",113.7467769,92.44794539,748.9477045,10.37740529,69.3345,18.0415,"Norway","Continental cold/Tundra"
"65","095",114.8151895,281.4001954,1669.026764,47.00357348,48.441944,-1.186111,"France","Temperate"
"66","096",331.6179808,419.9578805,3213.354134,10.21710269,48.445751,-1.141986,"France","Temperate"
"67","097",236.6828316,291.7453909,2764.497099,24.7161811,48.441002,-1.184643,"France","Temperate"
"68","098",37.75411277,9.078482613,223.9163464,1.5354596,47.321111,2.278056,"France","Temperate"
"69","099",144.4980128,66.50635385,410.7605879,27.25458246,68.49666278,20.88581878,"Sweden","Continental cold/Tundra"
"70","100",65.9034475,76.40149535,386.3108088,22.12819117,68.49639153,20.88494635,"Sweden","Continental cold/Tundra"
"71","101",45.21275992,29.81157874,277.3423571,15.87762477,68.46431718,20.90508158,"Sweden","Continental cold/Tundra"
"72","102",195.5827176,166.5169526,389.9787856,16.01371524,68.46425451,20.90507101,"Sweden","Continental cold/Tundra"
"73","104",174.5958046,84.14010187,1874.918541,8.647895247,49.735041,-125.19277,"Canada","Temperate"
"74","105",751.246917,87.95129308,1328.835903,4.803426246,49.74702,-125.234071,"Canada","Temperate"
"75","106",132.6756152,71.96450946,321.2152054,8.262486722,49.783977,-125.124197,"Canada","Temperate"
"76","107",122.4843347,194.1804603,556.2148121,9.626002652,49.648932,-125.102706,"Canada","Temperate"
"77","118",473.9749367,703.8492596,2924.015875,24.43206593,42.688677,2.23822,"France","Temperate"
"78","120",86.15632512,138.8181275,3811.322179,25.54600411,38.7312,-27.24833333,"Azores","Temperate"
"79","122",72.74076077,88.41750992,1509.078501,22.15908548,38.7390222,-27.20435278,"Azores","Temperate"
"80","124",42.43890289,56.87804881,1034.744055,4.601622634,48.353153,-85.338882,"Canada","Continental cold/Tundra"
"81","125",30.50095734,73.71265303,909.8168361,4.755954402,48.350965,-85.356936,"Canada","Continental cold/Tundra"
"82","126",786.8945756,167.8586985,2276.03108,14.58254731,60.045261,17.330458,"Sweden","Continental hot summer"
"83","127",287.3695633,273.2443082,1169.546699,103.2870538,60.04628,17.332558,"Sweden","Continental hot summer"
"84","128",1291.064673,1772.079866,2522.166718,15.73119333,59.953075,17.299372,"Sweden","Continental hot summer"
"85","129",285.22303,144.1277458,2423.022565,26.24590768,59.947705,17.32453,"Sweden","Continental hot summer"
"86","130",150.9920869,46.5545563,2050.892943,111.046803,58.534878,15.47928,"Sweden","Continental hot summer"
"87","131",59.68938197,24.44222495,395.7962007,5.871259029,50.2548,-63.59105,"Canada","Continental cold/Tundra"
"88","132",86.73777684,92.05517968,667.7300334,3.60465928,50.22827,-62.03592,"Canada","Continental cold/Tundra"
"89","133",51.57688815,56.92481959,401.496481,21.40648653,50.15443,-61.67392,"Canada","Continental cold/Tundra"
"90","134",171.1103628,87.17449588,350.1914446,21.48066388,50.829165,-63.333046,"Canada","Continental cold/Tundra"
"91","135",39.96506087,22.17649944,228.130987,34.52151387,50.2894,-64.35123,"Canada","Continental cold/Tundra"
"92","136",15.60522318,21.62663252,592.856615,11.33380005,50.314641,-65.226414,"Canada","Continental cold/Tundra"
"93","137",194.899292,649.4696376,910.7599851,3.325716586,50.201439,-66.678703,"Canada","Continental cold/Tundra"
"94","138",380.1602999,514.4068935,845.3916891,1.679882106,49.173828,-68.342431,"Canada","Continental hot summer"
"95","139",305.7835269,296.9491645,1212.599408,16.0312672,45.9558,3.6646,"France","Temperate"
"96","140",1643.43893,1578.206518,7369.823293,63.22335823,45.48079,2.84594,"France","Temperate"
"97","141",516.2340593,1026.755656,3545.267378,38.82448195,45.46788,2.93149,"France","Temperate"
"98","142",362.0184574,358.3116655,2850.419012,405.6220519,45.38494,2.92313,"France","Temperate"
"99","153",174.2750923,39.95036273,610.7565387,25.19761442,45.475279,3.967489,"France","Temperate"
"100","157",143.2365007,85.78786386,1484.649918,5.910739793,44.104558,128.043294,"China","Continental hot summer"
"101","158",107.6503565,232.9787114,1432.783225,25.65980612,30.399564,119.440742,"China","Temperate"
"102","159",33.67153304,29.03341489,1922.00805,18.89721095,37.8009977,-25.2388694,"Portugal/azores","Temperate"
"103","160",53.12210275,219.1001749,3213.697223,44.58313717,37.7998967,-25.2453227,"Portugal/azores","Temperate"
"104","169",26.3363151,21.73142968,1021.195722,14.94475204,60.2823544,17.8216873,"Sweden","Continental hot summer"
"105","170",1108.485496,688.4155641,3564.395106,21.02561526,47.581058,14.345877,"Austria","Continental hot summer"
"106","171",327.8653707,384.7208497,1689.640461,146.0022954,46.54722,8.70139,"Switzerland","Continental cold/Tundra"
"107","172",145.9487206,99.87506614,998.5704222,37.36569841,46.159917,6.553667,"France","Temperate"
"108","173",77.79722538,51.17769717,1971.626509,10.09855948,47.005833,6.665,"Switzerland","Temperate"
"109","174",45.44912357,50.39579614,1426.29896,3.789761202,47.238333,7.043611,"Switzerland","Temperate"
"110","181",597.3570411,511.0501474,3162.232414,45.87552461,44.663333,-66.789444,"Canada","Continental hot summer"
"111","182",208.2994067,390.4267577,475.8090507,12.77689546,44.663333,-66.789444,"Canada","Continental hot summer"
"112","183",159.4644428,22.17649944,699.018174,39.07449559,44.661389,-66.790556,"Canada","Continental hot summer"
"113","184",101.4212736,55.0928241,438.0285754,2.626626313,45.938611,-66.671111,"Canada","Continental hot summer"
"114","185",251.2011158,185.1007567,629.6487147,0,45.938333,-66.670833,"Canada","Continental hot summer"
"115","191",30.88031436,50.29576346,1177.111997,16.59461127,47.178862,6.789309,"France","Temperate"
"116","192",182.3140659,233.0251294,2025.984913,45.32318055,48.802047,1.423023,"France","Temperate"
"117","193",511.4019,362.3619063,2159.772077,27.46515783,48.802047,1.423023,"France","Temperate"
"118","194",31.53941136,50.58632947,233.8271024,3.065547752,42.802248,1.423177,"France","Temperate"
"119","195",197.6670045,247.6007055,2275.668746,12.03971653,42.80206,1.422952,"France","Temperate"
"120","196",224.8231806,566.3411304,2289.023985,47.99044767,42.80206,1.422952,"France","Temperate"
"121","197",731.510997,3000.384076,2933.725231,94.86154443,53.18775,-2.61822,"Great Britain","Temperate"
"122","199",138.6045137,41.09642246,1619.917235,13.2915834,60.89185,68.6791,"Russia","Continental cold/Tundra"
"123","200",1250.220984,491.3331597,1865.811329,14.7211535,60.89194,68.67879,"Russia","Continental cold/Tundra"
"124","201",811.7076855,51.16269181,1306.964648,25.33898234,60.89479,68.68324,"Russia","Continental cold/Tundra"
"125","202",378.2886054,382.9863942,3062.325224,36.52731922,42.827882,1.7999628,"France","Temperate"
"126","204",558.8476518,685.7789011,3955.371593,36.98319753,42.805204,1.372466,"France","Temperate"
"127","210",41.1571155,52.94783755,1851.864925,18.36233546,67.36865977,26.65420873,"Finland","Continental cold/Tundra"
"128","211",134.8582489,77.72197553,2549.911508,41.40831894,67.4287588,26.50205305,"Finland","Continental cold/Tundra"
"129","212",59.32311648,65.52639511,688.8944855,23.53843678,67.99565365,24.20182706,"Finland","Continental cold/Tundra"
"130","213",76.34845598,101.8275485,1802.772683,23.75819219,67.99730626,24.20914291,"Finland","Continental cold/Tundra"
"131","214",111.0137858,50.47771654,2376.383042,34.33251758,60.64581159,23.97175438,"Finland","Continental hot summer"
"132","216",196.7429486,158.4772905,815.7151227,22.29766111,42.82317842,1.783128652,"France","Temperate"
"133","217",116.5989467,83.03440693,398.4757395,7.657538748,42.82323628,1.783066725,"France","Temperate"
"134","218",397.5947824,414.9219169,932.0679314,11.40970547,42.83559186,1.789886627,"France","Temperate"
"135","219",324.8486581,442.284352,1135.434699,8.38327345,42.83537002,1.790070732,"France","Temperate"
"136","220",103.3693877,128.1364537,350.0288567,26.12446541,50.434283,12.676686,"Germany","Temperate"
"137","221",295.2924275,232.0637449,667.2958876,52.87498486,52.806097,13.749117,"Germany","Temperate"
"138","222",75.41233312,162.8217969,3371.529637,14.20329376,52.50115,9.371211,"Germany","Temperate"
"139","224",187.3558126,488.4842256,6679.295774,62.34622917,50.512052,10.064813,"Germany","Temperate"
"140","225",57.11050903,103.7516813,2970.632763,81.39558214,43.11,-0.096111,"France","Temperate"
"141","226",403.1325961,903.3785569,5832.238603,49.03670024,43.082778,-0.094167,"France","Temperate"
"142","227",389.6275621,154.7356221,1596.913183,7.996626666,48.147222,0.4875,"France","Temperate"
"143","230",227.9187973,174.2292243,2921.388086,28.14707972,46.826233,6.17245,"France","Temperate"
"144","234",119.7827887,177.3686056,1782.398994,93.90340824,46.826317,6.17245,"France","Temperate"
"145","236",372.8903765,97.04728964,2103.652293,26.73225288,46.82635,6.172333,"France","Temperate"
"146","237",487.2356806,533.775218,2150.168809,64.75481747,46.826383,6.17235,"France","Temperate"
"147","238",384.2691237,420.8519041,4248.700128,131.8288748,46.8264,6.172333,"France","Temperate"
"148","240",531.3073838,284.6533694,3107.1007,153.8361536,46.8264,6.172433,"France","Temperate"
"149","241",503.329002,187.0114902,1386.40249,10.36092115,46.826417,6.172417,"France","Temperate"
"150","242",285.2264198,254.9365943,1137.697152,13.10920192,42.717842,2.02785,"France","Temperate"
"151","243",1026.253041,533.4340115,2773.205346,21.28585034,42.700581,2.059013,"France","Temperate"
"152","252",96.5733895,88.50448273,675.1356999,8.852829612,61.783333,24.3,"Finland","Continental cold/Tundra"
"153","254",39.1172926,31.38165489,1175.947076,3.301505779,61.783333,24.3,"Finland","Continental cold/Tundra"
"154","264",35.8751195,40.0377525,288.1937495,4.113228256,61.8325,24.192778,"Finland","Continental cold/Tundra"
"155","266",102.603739,155.2047226,6439.904252,36.9982697,61.8325,24.192778,"Finland","Continental cold/Tundra"
